word,frequency
The,0
U.S.,0
Navy,0
says,1
it,11
will,1
proceed,1
with,1
a,10
hearing,1
to,12
consider,1
the,6
expulsion,1
of,5
Special,0
Operations,0
Chief,0
Eddie,0
Gallagher,0
from,2
SEALs,0
—,1
despite,1
President,0
Trump,0
support,1
"him.
https://t.co/dO8LYZ6nXl",0
It's,0
been,1
great,1
chess,1
playing,1
on,7
Trump's,0
"part.

Let's",0
"see.

As",0
we,1
grin,1
ear,2
ear.,1
https://t.co/TNDoHxPciJ,0
@SpyGateDown,0
just,2
one,2
giant,1
circle,1
jerk,1
very,4
serious,1
corruption,1
and,9
bad,1
government,1
actors.,1
not,1
difficult,1
see,1
why,1
they,1
want,4
gone,1
at,3
all,1
"costs,",1
he,12
has,1
disrupted,1
their,9
"plans,",1
cashflow,1
influence,1
then,1
cry,1
victim,1
national,1
television.,1
@michaelsayman,1
@JoeBiden,0
is,1
Lite.,0
Dear,0
"libs,

Do",0
you,2
think,1
sacrificed,1
his,6
billionaire,1
lifestyle,1
so,1
could,2
put,1
life,2
in,6
"danger,",1
be,2
constantly,1
"slandered,",1
&amp;,4
have,1
idiots,1
compare,1
him,1
Adolph,0
"Hitler?

No.

He",0
did,1
because,1
loves,1
this,1
"country,",1
knew,1
was,1
"trouble,",1
wanted,1
save,1
it.,1
Thank,0
God!,0
@_SolidOrange,0
@1776Stonewall,0
Who,0
possibly,1
vote,1
for,1
besides,1
trump?,1
